,,,,,,,,,,,,
India/State/UT,Total Schools,Number of School having,Computer facility,Functional Computer facility for Pedagogical purposes,Internet Facility,Drinking Water,Functional Drinking Water,Hand wash facility,Functional Rainwater Harvesting System,Conducting Medical Checkup of Students in Last Academic Year,Ramp,Ramp and Handrails
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,1471891,841327,748918,792992,1447311,1411865,1393942,418030,1106301,1134850,769906,506695
Andaman & Nicobar Islands,412,283,277,239,412,410,412,92,390,272,151,115
Andhra Pradesh,61373,53556,51585,57652,61366,61217,61106,52125,59621,54522,36403,14172
Arunachal Pradesh,3490,1487,1319,1065,2912,2490,1763,182,1527,947,688,397
Assam,56630,38463,31637,25490,54341,53294,52307,2730,39555,44109,39132,12175
Bihar,94686,18585,17465,17492,90577,88310,77311,12290,27841,48588,20473,14483
Chandigarh,230,230,230,229,230,230,230,129,213,206,131,181
Chhattisgarh,56615,38094,21243,34722,56083,55119,55774,20467,51537,44187,31675,37273
Dadra & Nagar Haveli and Daman & Diu,432,419,417,429,432,432,432,337,430,424,413,396
Delhi,5497,5495,5494,5497,5497,5497,5497,5130,5454,5494,5333,5497
Goa,1487,836,816,1302,1487,1487,1487,60,1429,934,841,131
Gujarat,53626,52543,51466,50351,53602,53586,52551,12251,46350,43664,32640,19884
Haryana,23517,22721,22314,15926,23511,23497,23465,8645,20237,17124,10739,11983
Himachal Pradesh,17826,8460,8004,8683,17826,17826,17736,6029,16994,14978,12893,4799
Jammu & Kashmir,24296,10055,8612,11016,24149,23508,22615,1209,17838,10254,3206,1884
Jharkhand,44475,33472,18942,23435,43863,42831,41775,10181,26639,30133,17570,3020
Karnataka,75869,40121,36731,37327,75777,75468,70500,22204,71126,57530,47757,14239
Kerala,15864,15774,15722,14616,15850,15820,15844,5064,13783,13029,10637,5614
Ladakh,995,527,492,455,955,899,708,6,885,583,204,186
Lakshadweep,37,37,36,37,37,37,36,22,36,36,30,23
Madhya Pradesh,123412,60784,55672,53376,122746,115970,115446,20805,84500,116073,41178,28014
Maharashtra,108237,88203,81906,73073,107686,106474,106930,34397,100138,101521,87665,66743
Manipur,4646,1556,1419,1499,4634,4620,3694,1052,1614,1956,1065,349
Meghalaya,14601,2751,2482,3580,8242,7197,5942,1411,9319,4706,3307,457
Mizoram,3941,1836,1680,982,3597,3539,2934,1769,2651,1811,746,731
Nagaland,2725,2296,1973,1535,1949,1811,1850,943,947,1093,490,215
Odisha,61693,36628,34401,50582,61685,61402,61341,39311,58107,58174,51633,46521
Puducherry,735,735,730,735,735,735,735,303,735,508,366,311
Punjab,27404,27073,26524,20274,27381,27311,27372,5140,23266,21755,16674,15537
Rajasthan,107757,55593,49189,73634,105157,97733,103947,32642,69623,72926,35974,24150
Sikkim,1254,1152,1111,587,1249,1240,1226,127,1075,529,327,328
Tamil Nadu,58722,42686,42348,58106,58106,57875,58106,58097,58106,58103,58090,30313
Telangana,42901,33434,30119,17114,41800,39762,39507,11476,33940,31267,12923,3072
Tripura,4923,2427,2208,1736,4603,4277,4416,159,4074,3133,1831,558
Uttar Pradesh,255087,102539,86115,98346,253303,245753,244750,44429,158573,183525,126744,111643
Uttarakhand,22551,19518,17751,15456,21958,20937,22000,2914,18937,17043,10226,2518
West Bengal,93945,20958,20488,16414,93573,93271,92197,3902,78811,73713,49751,28783
