India/State/UT,Total_Schools,Library,Reading_Corner,Playground,Digital_Library,Kitchen_Garden,Girls_Toilet,Functional_Girls_Toilet,Boys_Toilet,Functional_Boys_Toilet,Electricity,Functional_Electricity,Computer_Facility,Computer_Facility_Count,Functional_Computer,Internet,Drinking_Water,Functional_Drinking_Water,Handwash,Rainwater_Harvesting,Medical_Checkup,Ramp,Ramp_Handrails,Total_Enrolment,Total_Teachers,Avg_Teachers_Per_School,Avg_Enrolment_Per_School,Schools_Zero_Enrolment,Teachers_Zero_Enrolment,Single_Teacher_Schools,Single_Teacher_Enrolment,electricity_ratio,toilet_ratio,water_ratio,computer_ratio,PTR,infra_score,high_risk,teacher_risk
Andaman & Nicobar Islands,412,412,396,9,324,412,412,411,409,384,379,14,283,277,239,412,410,412,92,390,272,151,115,72119,5750,13,14,175,3,3,11,0.03398058252427184,0.9975728155339806,1.0,0.5800970873786407,12.542434782608696,0.625485436893204,False,False
Andhra Pradesh,61373,61136,59081,8144,44837,60290,59944,53561,52627,61238,61213,4723,53556,51585,57652,61366,61217,61106,52125,59621,54522,36403,14172,8741885,338293,26,6,142,84,251,12611,0.0769556645430401,0.8727127564238346,0.995649552734916,0.939370733058511,25.84116431614015,0.6719045834487478,True,False
Arunachal Pradesh,3490,1510,2413,38,923,3125,2446,3164,2437,2400,2023,410,1487,1319,1065,2912,2490,1763,182,1527,947,688,397,323717,24700,13,7,93,240,58,618,0.1174785100286533,0.9065902578796562,0.5051575931232092,0.30515759312320917,13.105951417004048,0.46928366762177653,False,False
Assam,56630,51282,46186,517,35558,52225,49995,51394,48297,49262,48850,3692,38463,31637,25490,54341,53294,52307,2730,39555,44109,39132,12175,6922533,342199,20,6,122,0,0,2633,0.06519512625816705,0.907540173053152,0.9236623697686739,0.45011478015186296,20.229553563861963,0.566576019777503,False,False
Bihar,94686,57096,42198,1214,17037,89145,87271,87567,85124,75545,74183,8721,18585,17465,17492,90577,88310,77311,12290,27841,48588,20473,14483,21348149,657063,32,7,225,117,544,2637,0.09210442937709905,0.9248146505291173,0.816498743214414,0.1847369199248041,32.49026196879142,0.5053228565997084,True,True
Chandigarh,230,226,225,27,183,229,229,227,227,230,230,173,230,230,229,230,230,230,129,213,206,131,181,265706,10237,26,45,1155,0,0,0,0.7521739130434782,0.9869565217391304,1.0,0.9956521739130435,25.955455699912083,0.9208695652173914,False,False
Chhattisgarh,56615,55610,44247,778,29451,54715,52545,53142,49355,53596,51347,3428,38094,21243,34722,56083,55119,55774,20467,51537,44187,31675,37273,5776548,278798,21,5,102,108,148,5840,0.060549324383997176,0.9386558332597368,0.985145279519562,0.6133003620948512,20.719474314736836,0.6194506756160028,False,False
Dadra & Nagar Haveli and Daman & Diu,432,431,430,4,345,430,430,428,428,432,432,62,419,417,429,432,432,432,337,430,424,413,396,141282,4995,28,12,327,0,0,1,0.14351851851851852,0.9907407407407407,1.0,0.9930555555555556,28.284684684684684,0.7388888888888889,True,False
Delhi,5497,5495,5437,370,4212,4645,4645,4713,4713,5497,5497,1835,5495,5494,5497,5497,5497,5497,5130,5454,5494,5333,5497,4506578,160479,28,29,820,0,0,13,0.3338184464253229,0.8573767509550664,1.0,1.0,28.082041887100495,0.7573585592141168,True,False
Goa,1487,1487,1353,32,1045,1477,1477,1476,1476,1487,1487,51,836,816,1302,1487,1487,1487,60,1429,934,841,131,304735,14594,21,10,205,4,16,238,0.03429724277067922,0.9926025554808339,1.0,0.8755884330867518,20.880841441688364,0.6831876260928044,False,False
Gujarat,53626,51774,47478,1371,25777,51949,51364,51308,50601,53593,53579,4445,52543,51466,50351,53602,53586,52551,12251,46350,43664,32640,19884,11496709,394053,29,7,214,274,382,2462,0.08288889717674262,0.9567746988401149,0.9799537537761533,0.9389288777831649,29.175539838549636,0.695675605116921,True,False
Haryana,23517,22938,21319,722,9655,22918,22750,22421,22254,23470,23371,5249,22721,22314,15926,23511,23497,23465,8645,20237,17124,10739,11983,5599742,250909,22,11,238,81,178,867,0.22320023812561127,0.9533954160819832,0.9977888336097291,0.6772122294510354,22.317820405007392,0.6879789088744312,False,False
Himachal Pradesh,17826,17771,17455,394,13825,17724,17682,17669,17591,17750,17688,1345,8460,8004,8683,17826,17826,17736,6029,16994,14978,12893,4799,1426412,101131,14,6,80,6,10,3473,0.07545158756871985,0.9911926399640973,0.9949511948838775,0.4870974980365758,14.104597007841315,0.6164030068439359,False,False
Jammu & Kashmir,24296,18000,18054,373,4664,22056,20033,21587,19282,22114,20889,4145,10055,8612,11016,24149,23508,22615,1209,17838,10254,3206,1884,2629949,167046,16,7,108,119,238,1330,0.17060421468554496,0.8885001646361541,0.9308116562397103,0.4534079683898584,15.743860972426758,0.5945752387224235,False,False
Jharkhand,44475,42258,32532,855,10261,43838,42950,43068,42057,42343,40922,6784,33472,18942,23435,43863,42831,41775,10181,26639,30133,17570,3020,7143255,206591,35,5,161,199,398,8353,0.15253513209668354,0.9683642495784148,0.93929173693086,0.5269252388982575,34.57679666587605,0.629513209668353,True,True
Karnataka,75869,74560,64919,2960,24569,74772,74332,72335,71552,75129,74553,10034,40121,36731,37327,75777,75468,70500,22204,71126,57530,47757,14239,11926303,433942,27,6,157,1078,1572,7821,0.13225428040438122,0.9534197102901053,0.9292332836863542,0.49199277702355376,27.483633757506762,0.6099474093503275,True,False
Kerala,15864,15681,14439,3416,11823,15765,15748,15564,15532,15852,15836,2030,15774,15722,14616,15850,15820,15844,5064,13783,13029,10637,5614,6281704,291096,22,18,396,104,504,76,0.12796268280383258,0.981089258698941,0.9987392839132627,0.9213313161875946,21.5794926759557,0.7167297024710035,False,False
Ladakh,995,951,760,44,161,890,863,913,884,791,736,245,527,492,455,955,899,708,6,885,583,204,186,56642,6432,9,6,57,35,21,83,0.24623115577889448,0.9175879396984925,0.7115577889447237,0.457286432160804,8.806281094527364,0.5829145728643216,False,False
Lakshadweep,37,37,34,1,36,37,37,37,37,37,37,1,37,36,37,37,37,36,22,36,36,30,23,12591,911,14,25,340,0,0,0,0.02702702702702703,1.0,0.972972972972973,1.0,13.821075740944018,0.7027027027027026,False,False
Madhya Pradesh,123412,121496,118227,2648,22089,119792,109090,118929,106717,110784,104902,7413,60784,55672,53376,122746,115970,115446,20805,84500,116073,41178,28014,15361543,639525,24,5,124,1211,1924,13198,0.06006709234110135,0.963674521116261,0.935451981979062,0.43250251191132144,24.02023845823072,0.5807133828152854,False,False
Maharashtra,108237,106598,102322,9712,48935,104570,101239,102170,97986,102393,95148,18944,88203,81906,73073,107686,106474,106930,34397,100138,101521,87665,66743,21375970,738114,29,7,197,18,76,8196,0.17502332843667137,0.943947079094949,0.9879246468398052,0.6751203377772851,28.96025546189342,0.6683001191829041,True,False
Manipur,4646,1274,4061,59,1815,3874,3455,3971,3510,3143,2818,498,1556,1419,1499,4634,4620,3694,1052,1614,1956,1065,349,647434,40921,16,9,139,83,354,320,0.10718897976754198,0.8547137322427895,0.7950925527335342,0.32264313387860527,15.821558612937123,0.5121179509255274,False,False
Meghalaya,14601,4067,7121,100,2113,12007,10173,12624,10652,4284,3915,633,2751,2482,3580,8242,7197,5942,1411,9319,4706,3307,457,1052884,55726,19,4,72,146,277,1451,0.04335319498664475,0.8645983151838915,0.4069584275049654,0.24518868570645846,18.8939453755877,0.40281487569344565,False,False
Mizoram,3941,3189,3255,3,1483,3547,3189,3617,3191,3437,3234,82,1836,1680,982,3597,3539,2934,1769,2651,1811,746,731,293763,23013,13,6,75,39,73,96,0.020806901801573206,0.9177873636132962,0.7444810961684851,0.249175336209084,12.76508929735367,0.4803095660999746,False,False
Nagaland,2725,2114,2130,32,1215,2435,2132,2458,2115,2208,1995,389,2296,1973,1535,1949,1811,1850,943,947,1093,490,215,412975,32602,13,12,152,12,24,31,0.14275229357798166,0.9020183486238532,0.6788990825688074,0.563302752293578,12.667167658425864,0.5618715596330275,False,False
Odisha,61693,61478,60495,8722,57332,61012,60582,59669,59120,59511,59076,8913,36628,34401,50582,61685,61402,61341,39311,58107,58174,51633,46521,7756910,335496,23,5,126,8,16,1065,0.14447344107111018,0.9671923881153454,0.9942943283678861,0.8198985298169971,23.120722750792854,0.6963383203929132,False,False
Puducherry,735,735,701,50,180,709,709,700,700,735,735,52,735,730,735,735,735,735,303,735,508,366,311,244828,13202,19,18,333,0,0,0,0.0707482993197279,0.9523809523809523,1.0,1.0,18.544765944553856,0.7069387755102041,False,False
Punjab,27404,26981,26577,1503,20671,26953,26728,26507,26208,27390,27369,5484,27073,26524,20274,27381,27311,27372,5140,23266,21755,16674,15537,5988681,273092,22,10,219,15,35,2092,0.20011677127426653,0.9672675521821632,0.9988322872573347,0.7398190045248869,21.92917038946582,0.6979455553933732,False,False
Rajasthan,107757,84684,89885,1945,30211,102219,93540,99740,90522,98443,97294,8868,55593,49189,73634,105157,97733,103947,32642,69623,72926,35974,24150,16786065,775745,22,7,156,2167,4398,7688,0.08229627773601715,0.9256011210408605,0.9646426682257301,0.683333797340312,21.638637696665786,0.6319645127462717,False,False
